,AMC,SAM,TZP,CFZ,FEP,FOX,CAZ,CRO,CXM,ETP,IPM,MEM,CHL,FOS,AMK,GEN,TOB,CIP,LVX,NIT,MIN,TET,SXT,CTX,CZA,AZM,AMP,MXF,NOR,NAL,STR,AZI,XNL,SUL,DOX,KAN,COL
2021-1004,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,R,,,,,I
2021-1008,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-1011,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-1013,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-1019,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-1024,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-103,,R,,,,,S,,,S,,S,R,,S,,,R,,,,R,S,R,,,R,,,S,R,S,,,,,I
2021-1034,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-1036,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-1042,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-1054,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-1063,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-1065,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-1067,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-1074,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-113,,R,,,,,S,,,S,,S,R,,S,,,I,,,,R,S,R,S,,R,,,S,R,S,,,,,I
2021-132,,I,,,,,R,,,S,,S,S,,S,,,R,,,,R,R,R,S,,R,,,R,R,R,,,,,I
2021-133,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-136,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-139,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-146,,R,,,,,S,,,S,,S,R,,S,,,I,,,,R,S,R,S,,R,,,S,R,S,,,,,I
2021-147,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-163,,I,,,,,S,,,S,,S,R,,S,,,R,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-169,,R,,,,,S,,,S,,S,R,,S,,,I,,,,R,S,R,S,,R,,,S,R,S,,,,,I
2021-17,,R,,,,,R,,,S,,S,R,,S,,,R,,,,R,R,S,S,,R,,,S,R,R,,,,,I
2021-176,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-179,,S,,,,,S,,,S,,S,R,,S,,,S,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-181,,I,,,,,S,,,S,,S,R,,S,,,R,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-186,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,,,R,,,S,S,S,,,,,I
2021-188,,R,,,,,S,,,S,,S,R,,S,,,R,,,,R,R,R,S,,R,,,R,R,S,,,,,I
2021-20,,R,,,,,R,,,S,,S,R,,S,,,R,,,,R,R,R,S,,R,,,R,R,S,,,,,I
2021-200,,R,,,,,S,,,S,,S,R,,S,,,I,,,,R,S,R,S,,R,,,S,R,S,,,,,I
2021-21,,R,,,,,R,,,S,,S,R,,S,,,R,,,,R,R,R,S,,R,,,R,R,S,,,,,I
2021-22,,R,,,,,R,,,S,,S,R,,S,,,R,,,,R,R,R,S,,R,,,S,R,S,,,,,I
2021-223,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-227,,R,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,R,S,,R,,,S,R,S,,,,,I
2021-228,,R,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,R,R,S,,,,,I
2021-231,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-234,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-24,,R,,,,,S,,,S,,S,R,,S,,,R,,,,R,S,S,S,,R,,,R,R,S,,,,,I
2021-249,,I,,,,,S,,,S,,S,R,,S,,,S,,,,R,S,R,S,,R,,,S,R,S,,,,,R
2021-25,,R,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,R,S,,R,,,S,R,S,,,,,I
2021-266,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-269,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-270,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,,,R,,,S,R,S,,,,,I
2021-276,,I,,,,,S,,,S,,S,R,,S,,,S,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-28,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-284,,I,,,,,S,,,S,,S,R,,S,,,R,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-299,,I,,,,,S,,,S,,S,R,,S,,,R,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-302,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-31,,I,,,,,R,,,S,,S,S,,S,,,S,,,,R,S,R,S,,R,,,S,R,S,,,,,I
2021-318,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-33,,I,,,,,R,,,S,,S,S,,S,,,R,,,,R,R,R,S,,R,,,S,R,R,,,,,I
2021-334,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-349,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-352,,R,,,,,R,,,S,,S,R,,S,,,I,,,,R,R,R,S,,R,,,S,R,S,,,,,I
2021-353,,R,,,,,R,,,S,,S,R,,S,,,I,,,,R,R,R,S,,R,,,S,R,S,,,,,I
2021-356,,R,,,,,R,,,S,,S,R,,S,,,I,,,,R,R,R,S,,R,,,S,R,S,,,,,I
2021-360,,R,,,,,R,,,S,,S,R,,S,,,I,,,,R,R,R,S,,R,,,S,R,S,,,,,I
2021-369,,I,,,,,S,,,S,,S,R,,S,,,S,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-378,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-397,,I,,,,,S,,,S,,S,R,,S,,,R,,,,R,R,S,S,,R,,,R,R,S,,,,,I
2021-40,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-402,,I,,,,,S,,,S,,S,R,,S,,,R,,,,R,R,S,S,,R,,,R,R,R,,,,,I
2021-409,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-41,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-413,,I,,,,,S,,,S,,S,R,,S,,,R,,,,R,R,S,S,,R,,,R,R,S,,,,,I
2021-417,,I,,,,,S,,,S,,S,R,,S,,,R,,,,R,R,S,S,,R,,,R,R,S,,,,,I
2021-42,,R,,,,,R,,,S,,S,R,,S,,,R,,,,R,R,R,S,,R,,,S,R,R,,,,,I
2021-424,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-432,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-438,,R,,,,,S,,,S,,S,I,,S,,,I,,,,R,R,R,S,,R,,,S,R,S,,,,,I
2021-463,,I,,,,,R,,,S,,S,I,,S,,,R,,,,S,R,R,S,,R,,,S,R,R,,,,,I
2021-468,,I,,,,,S,,,S,,S,R,,S,,,S,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-474,,R,,,,,S,,,S,,S,I,,S,,,I,,,,R,R,R,S,,R,,,S,R,S,,,,,I
2021-48,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-49,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-495,,R,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,R,S,,R,,,S,R,S,,,,,I
2021-527,,I,,,,,S,,,S,,S,R,,S,,,S,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-53,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-545,,S,,,,,S,,,S,,S,R,,S,,,S,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-556,,I,,,,,S,,,S,,S,R,,S,,,R,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-56,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-592,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-595,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-61,,I,,,,,R,,,S,,S,S,,S,,,I,,,,R,S,R,S,,R,,,S,R,S,,,,,I
2021-617,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-624,,R,,,,,S,,,S,,S,R,,S,,,I,,,,R,S,R,S,,R,,,S,R,S,,,,,I
2021-626,,I,,,,,S,,,S,,S,R,,S,,,S,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-627,,I,,,,,S,,,S,,S,S,,S,,,R,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-634,,I,,,,,S,,,S,,S,R,,S,,,R,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-65,,I,,,,,S,,,S,,S,S,,S,,,S,,,,R,S,S,S,,R,,,S,R,S,,,,,I
2021-677,,R,,,,,S,,,S,,S,R,,S,,,I,,,,R,S,R,S,,R,,,S,R,S,,,,,I
2021-689,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,I,S,,,,,I
2021-697,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-702,,I,,,,,R,,,S,,S,S,,S,,,I,,,,R,S,R,S,,R,,,S,R,S,,,,,I
2021-735,,I,,,,,S,,,S,,S,R,,S,,,R,,,,R,R,S,S,,R,,,R,R,R,,,,,I
2021-748,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-779,,R,,,,,S,,,S,,S,R,,S,,,R,,,,R,S,S,S,,R,,,R,R,R,,,,,I
2021-78,,I,,,,,S,,,S,,S,R,,S,,,R,,,,R,S,S,S,,R,,,R,R,S,,,,,I
2021-780,,R,,,,,S,,,S,,S,R,,S,,,R,,,,R,S,S,S,,R,,,R,I,R,,,,,I
2021-792,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-799,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-83,,R,,,,,R,,,S,,S,S,,S,,,S,,,,S,S,R,S,,R,,,S,I,S,,,,,I
2021-838,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-864,,I,,,,,R,,,S,,S,S,,S,,,I,,,,R,S,R,S,,R,,,S,R,S,,,,,I
2021-877,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-881,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-890,,I,,,,,S,,,S,,S,R,,S,,,R,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-906,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-908,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-91,,I,,,,,S,,,S,,S,R,,S,,,S,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-911,,R,,,,,S,,,S,,S,R,,S,,,S,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-925,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-927,,I,,,,,S,,,S,,S,R,,S,,,S,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-944,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-945,,I,,,,,S,,,S,,S,R,,S,,,R,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-954,,I,,,,,S,,,S,,S,R,,S,,,R,,,,R,R,S,S,,R,,,R,R,R,,,,,I
2021-966,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-969,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-979,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-984,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2021-988,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2022-125,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2022-128,S,I,S,I,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2022-129,,R,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2022-142,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2022-148,,R,,,,,R,,,S,,S,R,,S,,,R,,,,R,R,R,S,,R,,,S,R,R,,,,,I
2022-175,S,I,S,I,S,S,S,S,S,S,S,S,R,S,S,S,I,R,S,S,R,R,R,,,S,,S,S,,,,,,,,I
2022-187,R,R,S,R,S,R,R,R,R,S,S,S,R,S,S,S,S,S,S,S,S,R,S,,,R,,S,S,,,,,,,,I
2022-192,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2022-193,S,I,S,I,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2022-205,,R,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2022-219,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2022-238,,R,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2022-246,S,R,S,I,S,S,S,S,S,S,S,S,R,S,S,R,R,S,S,S,R,R,R,,,S,,S,S,,,,,,,,I
2022-25,I,R,S,R,R,S,S,R,R,S,S,S,R,S,S,S,S,S,S,S,R,R,R,,,R,,S,S,,,,,,,,I
2022-256,S,S,S,S,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,R,R,R,,,S,,S,S,,,,,,,,I
2022-268,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2022-272,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,R,R,R,,,,,I
2022-273,S,R,S,R,S,S,S,S,I,S,S,S,R,S,S,R,R,R,S,S,R,R,R,,,S,,S,I,,,,,,,,I
2022-274,S,R,S,R,R,S,R,R,R,S,S,S,R,S,S,R,R,R,S,S,S,R,R,,,R,,R,S,,,,,,,,I
2022-276,S,I,S,R,R,S,R,R,R,S,S,S,I,S,S,S,S,R,R,R,S,R,R,,,R,,R,S,,,,,,,,I
2022-312,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2022-317,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2022-318,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2022-319,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2022-320,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2022-324,S,I,S,R,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,R,R,R,,,S,,S,S,,,,,,,,I
2022-326,S,I,S,I,S,S,S,S,S,S,S,S,R,S,S,R,R,R,R,R,R,R,R,,,S,,S,I,,,,,,,,I
2022-327,S,I,S,I,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2022-339,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2022-341,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2022-344,S,I,S,I,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2022-369,S,I,S,I,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,R,R,R,,,S,,S,S,,,,,,,,I
2022-380,,S,,,,,S,,,S,,S,R,,S,,,R,,,,R,S,S,S,,S,,,S,I,S,,,,,I
2022-383,,I,,,,,S,,,S,,S,R,,S,,,S,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2022-390,,I,,,,,S,,,S,,S,R,,S,,,R,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2022-414,,I,,,,,S,,,S,,S,R,,S,,,S,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2022-425,S,I,S,S,S,S,S,S,I,S,S,S,R,S,S,R,R,R,S,S,R,R,S,,,S,,S,I,,,,,,,,I
2022-43,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2022-434,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2022-444,S,I,S,I,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2022-447,,S,,,,,S,,,S,,S,R,,S,,,R,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2022-452,S,I,S,I,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2022-476,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2022-49,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2022-505,,S,,,,,R,,,S,,S,I,,S,,,R,,,,R,S,R,S,,R,,,R,R,R,,,,,I
2022-514,,I,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2022-540,S,R,S,I,S,S,S,S,S,S,S,S,R,R,S,S,S,S,S,R,I,S,R,,,S,,S,S,,,,,,,,I
2022-545,I,R,S,R,R,S,S,R,R,S,S,S,R,S,S,S,S,S,S,R,R,R,S,,,R,,S,S,,,,,,,,I
2022-548,S,I,S,I,S,S,S,S,S,S,S,S,R,R,S,S,S,S,S,R,R,R,S,,,S,,S,S,,,,,,,,R
2022-56,I,R,I,I,S,S,S,S,I,S,S,S,R,S,S,R,R,R,S,S,S,S,S,,,S,,S,I,,,,,,,,I
2022-593,,I,,,,,S,,,S,,S,R,,S,,,S,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2022-60,S,R,S,I,S,S,S,S,S,S,S,S,R,S,S,R,R,S,S,S,R,R,S,,,S,,S,S,,,,,,,,I
2022-625,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,S,I,S,S,S,R,R,R,,,S,,S,S,,,,,,,,I
2022-635,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,S,I,S,S,S,R,R,R,,,S,,S,S,,,,,,,,I
2022-645,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,S,I,S,S,S,R,R,R,,,S,,S,S,,,,,,,,I
2022-646,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,S,S,S,R,R,R,,,S,,S,S,,,,,,,,I
2022-65,S,R,S,R,R,S,R,R,R,S,S,S,S,S,S,R,I,S,S,S,R,R,R,,,R,,R,S,,,,,,,,I
2022-704,S,R,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,S,S,S,R,R,R,,,S,,S,S,,,,,,,,I
2022-707,I,R,S,S,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,R,R,R,,,S,,S,S,,,,,,,,I
2022-721,S,I,S,I,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,R,R,R,,,S,,S,S,,,,,,,,I
2022-73,,R,,,,,R,,,S,,S,R,,S,,,I,,,,R,R,R,S,,R,,,S,R,R,,,,,I
2022-741,S,I,S,I,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2022-745,S,R,S,R,R,S,S,R,R,S,S,S,R,S,S,R,R,S,S,S,R,R,R,,,R,,S,S,,,,,,,,I
2022-760,S,R,S,R,R,S,R,R,R,S,S,S,R,S,S,S,S,R,R,S,R,R,R,,,R,,R,S,,,,,,,,I
2022-77,,I,,,,,S,,,S,,S,R,,S,,,S,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2022-775,S,R,S,I,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2022-80,,R,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2022-800,S,I,S,I,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2022-801,S,I,S,I,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2022-808,I,R,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2022-825,S,I,S,I,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2022-832,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,S,I,S,S,S,R,R,R,,,S,,S,S,,,,,,,,I
2022-847,I,R,S,I,S,S,S,S,S,S,S,S,R,S,S,R,R,S,S,S,R,R,R,,,S,,S,S,,,,,,,,I
2022-861,R,R,R,R,R,R,R,R,R,R,I,I,R,S,S,R,R,S,R,S,R,R,R,,,S,,S,S,,,,,,,,I
2022-883,I,R,S,I,S,S,S,S,S,S,S,S,R,S,S,R,R,R,R,S,R,R,R,,,S,,R,S,,,,,,,,I
2022-887,I,R,S,I,S,S,S,S,S,S,S,S,R,S,S,R,R,R,R,S,R,R,R,,,S,,S,S,,,,,,,,I
2022-89,,R,,,,,S,,,S,,S,R,,S,,,I,,,,R,R,S,S,,R,,,S,R,S,,,,,I
2022-890,I,R,S,I,S,S,S,S,S,S,S,S,R,S,S,R,R,R,R,S,R,R,R,,,S,,S,S,,,,,,,,I
2022-898,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,S,S,S,R,R,R,,,S,,S,S,,,,,,,,I
2022-901,R,R,R,R,R,R,R,R,R,R,R,R,R,S,S,R,I,S,S,S,R,R,R,,,S,,S,S,,,,,,,,I
2022-905,I,R,S,I,S,S,S,S,S,S,S,S,R,S,S,R,R,R,R,S,R,R,R,,,S,,R,S,,,,,,,,I
2022-916,I,R,S,I,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,R,R,R,,,S,,S,S,,,,,,,,I
2022-917,S,R,S,I,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2022-928,S,I,S,I,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2022-954,S,I,S,I,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2022-967,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,I,R,R,S,R,R,R,,,S,,R,S,,,,,,,,I
2022-976,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,S,I,R,S,S,R,R,R,,,S,,S,S,,,,,,,,I
2022-984,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,S,I,S,S,S,R,R,R,,,S,,S,S,,,,,,,,I
2013-15,S,R,I,I,S,S,S,S,I,S,S,S,R,S,S,R,R,R,S,R,R,R,R,,,S,,S,I,,,,,,,,I
2014-216,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,S,I,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2015-123,S,I,S,I,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,R,R,R,,,S,,S,S,,,,,,,,I
2015-133,S,I,S,I,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,S,R,R,,,S,,S,S,,,,,,,,I
2015-253,S,I,S,I,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,R,R,R,,,S,,S,S,,,,,,,,I
2015-292,S,I,S,R,R,S,R,R,R,S,S,S,S,S,S,S,I,S,S,S,R,R,S,,,R,,S,S,,,,,,,,I
2015-362,S,I,S,R,R,S,R,R,R,S,S,S,S,S,S,S,I,S,S,S,R,R,S,,,R,,S,S,,,,,,,,I
2015-44,S,I,S,I,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2015-45,S,I,S,I,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2015-463,S,R,S,R,R,S,S,R,R,S,S,S,R,S,S,R,R,S,S,S,R,R,R,,,R,,S,S,,,,,,,,I
2015-482,S,I,S,R,R,S,R,R,R,S,S,S,S,S,S,S,S,S,S,S,R,R,S,,,R,,S,S,,,,,,,,I
2015-5,S,I,S,I,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2015-50,S,I,S,I,S,S,S,S,S,S,S,S,R,S,S,S,S,S,S,S,I,R,R,,,S,,S,S,,,,,,,,I
2015-505,S,I,S,R,R,S,R,,R,S,S,S,S,S,S,S,I,S,S,S,I,R,S,,,R,,S,S,,,,,,,,I
