,AMC,SAM,TZP,CFZ,FEP,FOX,CAZ,CRO,CXM,ETP,IPM,MEM,CHL,FOS,AMK,GEN,TOB,CIP,LVX,NIT,MIN,TET,SXT,CTX,CZA,AZM,AMP,MXF,NOR,NAL,STR,AZI,XNL,SUL,DOX,KAN,COL
2015-0016,I,R,R,R,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,I,R,R,S,,,S,,S,S,,,,,,,,I
2015-0017,S,S,S,S,S,R,S,S,S,S,S,S,S,S,S,S,S,R,R,S,S,R,S,,,S,,I,R,,,,,,,,I
2015-0017-c3,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,S,R,R,R,I,S,R,S,,,S,,I,I,,,,,,,,I
2015-0018-09,S,S,S,S,S,S,S,I,S,S,S,S,S,S,S,S,S,S,R,S,I,R,S,,,S,,R,S,,,,,,,,R
2015-0019,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,R,S,S,S,R,R,,,S,,S,I,,,,,,,,I
2015-0022-08,R,R,R,R,I,R,R,R,R,R,I,I,R,S,S,S,S,S,S,S,R,R,R,,,R,,S,S,,,,,,,,I
2015-0023,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,R,S,I,I,R,R,,,S,,S,I,,,,,,,,I
2015-0025,I,R,I,S,S,S,S,S,I,S,S,S,R,S,S,R,R,R,S,I,I,R,R,,,S,,S,I,,,,,,,,I
2015-0026,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,R,S,I,S,R,S,,,S,,S,S,,,,,,,,I
2015-0039,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,R,S,R,S,R,R,,,S,,S,I,,,,,,,,I
2015-0049,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,S,S,S,I,R,S,,,S,,S,S,,,,,,,,I
2015-0053,S,I,S,S,S,S,S,S,S,S,S,S,R,S,S,R,R,R,S,I,S,R,R,,,S,,S,S,,,,,,,,I
